checkpoint,seed,num_layers,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,O[0],BpowD,B^D,0.7050148868849904,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,O[0],NdivBpowD,N / B^D,0.9037798911490024,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,O[0],floorNdivBpowD,floor(N / B^D),0.9038933212468219,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,O[0],floorNdivBpowD_modB,floor(N / B^D) mod B,0.49063121216841177,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,O[1],BpowD,B^D,0.5862210044603736,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,O[1],NdivBpowD,N / B^D,0.8570767718777205,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,O[1],floorNdivBpowD,floor(N / B^D),0.8571983782441066,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,O[1],floorNdivBpowD_modB,floor(N / B^D) mod B,0.857331048367068,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_tag,BpowD,B^D,-0.09826354696490336,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_tag,NdivBpowD,N / B^D,-0.3055546564862209,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_tag,floorNdivBpowD,floor(N / B^D),-0.3038081202942816,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5683665798460951,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_hundreds,BpowD,B^D,-0.06358098422104294,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_hundreds,NdivBpowD,N / B^D,-0.24142208845343024,3848,5
