checkpoint,seed,num_layers,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_hundreds,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5021076354030714,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_tens,BpowD,B^D,-0.08251257984723233,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_tens,NdivBpowD,N / B^D,-0.210537719508349,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_tens,floorNdivBpowD,floor(N / B^D),-0.20937796894253163,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5540509078151581,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_ones,BpowD,B^D,-0.13256752469646668,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_ones,NdivBpowD,N / B^D,-0.2700777166807661,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_ones,floorNdivBpowD,floor(N / B^D),-0.2689382080524284,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,N_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.6059984903451421,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_tag,BpowD,B^D,-0.12518469696008747,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_tag,NdivBpowD,N / B^D,-0.27233178384403567,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_tag,floorNdivBpowD,floor(N / B^D),-0.2711728509177745,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.6291854576616491,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_tens,BpowD,B^D,-0.032638923499673435,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_tens,NdivBpowD,N / B^D,-0.16787344070779464,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_tens,floorNdivBpowD,floor(N / B^D),-0.1680351335271717,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.07078123560513898,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_ones,BpowD,B^D,-0.0938768522268048,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_ones,NdivBpowD,N / B^D,-0.1736153235955396,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_ones,floorNdivBpowD,floor(N / B^D),-0.17376810095380946,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,B_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.07020139115073021,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,D_tag,BpowD,B^D,-0.06108362109329581,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,D_tag,NdivBpowD,N / B^D,-0.16236457934956694,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,D_tag,floorNdivBpowD,floor(N / B^D),-0.16249833254473,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,D_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.06899910593401444,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,D_ones,BpowD,B^D,0.9827437600905087,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,D_ones,NdivBpowD,N / B^D,0.9719381148660258,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,D_ones,floorNdivBpowD,floor(N / B^D),0.9719698310267315,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,D_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,0.5467346011405074,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,O[0],BpowD,B^D,0.8458185587160448,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,O[0],NdivBpowD,N / B^D,0.8711981577140028,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,O[0],floorNdivBpowD,floor(N / B^D),0.8712592548306682,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,2,1,O[0],floorNdivBpowD_modB,floor(N / B^D) mod B,0.552455493544916,3677,5
