target,target_label,representation_index,layer_label,stream,n_seeds,mean_positive_fraction_remaining_gap_closed,ci95_low_bootstrap_percentile,ci95_high_bootstrap_percentile,seed_values,mean_init_cv_r2,mean_trained_cv_r2
BpowD,B^D,0,input,O[1],3,0.002838419974261599,0.0,0.005613948596522298,0:0.000000;42:0.005614;1337:0.002901,-0.07929303993211827,-0.08524628966003119
BpowD,B^D,1,0,O[1],3,0.2093080987444043,0.0,0.5029895565626078,0:0.124935;42:0.502990;1337:0.000000,0.3989350063057225,0.5703844365499772
BpowD,B^D,2,1,O[1],3,0.638981710068112,0.5947966833528356,0.6687241022161959,0:0.594797;42:0.668724;1337:0.653424,0.60699830102458,0.857699288223562
BpowD,B^D,3,2,O[1],3,0.5771051665588878,0.4308226953215519,0.6688486517475717,0:0.430823;42:0.668849;1337:0.631644,0.5859753468090219,0.8250818730469319
BpowD,B^D,4,3,O[1],3,0.548765310235038,0.4127842918109283,0.628814628548436,0:0.412784;42:0.628815;1337:0.604697,0.5938817889043896,0.8163521470857708
BpowD,B^D,5,4,O[1],3,0.5194460326417528,0.37385600802603874,0.6257239339648939,0:0.373856;42:0.558758;1337:0.625724,0.5680630027018486,0.7881473783986098
BpowD,B^D,6,5,O[1],3,0.49177130234998323,0.3433420565785002,0.5663013807810571,0:0.343342;42:0.566301;1337:0.565670,0.5617388958224531,0.7755478858726654
BpowD,B^D,7,6,O[1],3,0.49771742533875485,0.354796637653677,0.5859434913560276,0:0.354797;42:0.585943;1337:0.552412,0.565813753533884,0.7806729182363314
BpowD,B^D,8,7,O[1],3,0.4658208742008015,0.290830476946642,0.5946254482341012,0:0.290830;42:0.594625;1337:0.512007,0.5615836014770287,0.7686335097621707
BpowD,B^D,9,8,O[1],3,0.4117298798645945,0.23072026199628892,0.5318160250559458,0:0.230720;42:0.531816;1337:0.472653,0.5840006491111315,0.7557925537098518
BpowD,B^D,10,9,O[1],3,0.4074995669015027,0.2497209039389033,0.5130473281891689,0:0.249721;42:0.513047;1337:0.459730,0.582985132900907,0.7535460783539643
NdivBpowD,N / B^D,0,input,B_ones,3,7.14060941246278e-17,0.0,2.142182823738834e-16,0:0.000000;42:0.000000;1337:0.000000,-0.2804586199643478,-0.300161171290339
NdivBpowD,N / B^D,1,0,B_ones,3,0.003436306455215046,0.0,0.010308919365645137,0:0.000000;42:0.000000;1337:0.010309,-0.1664587821885797,-0.1655768964393365
NdivBpowD,N / B^D,2,1,B_ones,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.15865367414294307,-0.17579332851181015
NdivBpowD,N / B^D,3,2,B_ones,3,0.0035104197862652147,0.0,0.010531259358795642,0:0.000000;42:0.010531;1337:0.000000,-0.16257359198437651,-0.15968876105566665
NdivBpowD,N / B^D,4,3,B_ones,3,0.0004907020676349544,0.0,0.0007915567672745664,0:0.000681;42:0.000792;1337:0.000000,-0.15817209780207572,-0.15779295036207883
NdivBpowD,N / B^D,5,4,B_ones,3,0.003109150277368676,0.0016862256501325697,0.004959894591232923,0:0.004960;42:0.002681;1337:0.001686,-0.1639229613535968,-0.16030409264799317
NdivBpowD,N / B^D,6,5,B_ones,3,0.0024500715414984033,0.0,0.0050555466226697605,0:0.005056;42:0.002295;1337:0.000000,-0.15962371776859938,-0.1614732898517417
NdivBpowD,N / B^D,7,6,B_ones,3,0.0056740562238480575,0.0,0.011012377680290156,0:0.006010;42:0.011012;1337:0.000000,-0.16372436319599662,-0.16357777673636256
NdivBpowD,N / B^D,8,7,B_ones,3,0.006039868794405992,0.0,0.011145188421543167,0:0.006974;42:0.011145;1337:0.000000,-0.16370295731702664,-0.1605527140573451
NdivBpowD,N / B^D,9,8,B_ones,3,0.006695268020461234,0.0,0.010970773203861117,0:0.009115;42:0.010971;1337:0.000000,-0.16301820637179792,-0.1596431399512183
NdivBpowD,N / B^D,10,9,B_ones,3,0.004052567921467576,0.0,0.006852504174587178,0:0.006853;42:0.005305;1337:0.000000,-0.16227574037344117,-0.16190769491072418
NdivBpowD,N / B^D,0,input,B_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.29967070839609056,-0.29967070839609056
NdivBpowD,N / B^D,1,0,B_tag,3,0.06056317079602467,0.0,0.13399941740299515,0:0.133999;42:0.047690;1337:0.000000,-0.2598289420080801,-0.20054720241747237
NdivBpowD,N / B^D,2,1,B_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.22211544861389868,-0.28114836817778555
NdivBpowD,N / B^D,3,2,B_tag,3,0.10915210933746171,0.046792262527228234,0.18440413988099716,0:0.046792;42:0.096260;1337:0.184404,-0.279688383861359,-0.1374381964278216
NdivBpowD,N / B^D,4,3,B_tag,3,0.03335339990268257,0.0,0.09094626239604535,0:0.009114;42:0.090946;1337:0.000000,-0.2605890296053287,-0.21677582061910103
NdivBpowD,N / B^D,5,4,B_tag,3,0.031021273245401937,0.0,0.09306381973620581,0:0.093064;42:0.000000;1337:0.000000,-0.21976564902308982,-0.2406815323621081
NdivBpowD,N / B^D,6,5,B_tag,3,0.04605172283127338,0.0,0.09030880617668675,0:0.047846;42:0.000000;1337:0.090309,-0.24087349167829877,-0.1840465326509615
NdivBpowD,N / B^D,7,6,B_tag,3,0.03220046838034311,0.0,0.04855271432420543,0:0.048049;42:0.048553;1337:0.000000,-0.2429113126096919,-0.21996802990239409
NdivBpowD,N / B^D,8,7,B_tag,3,0.060520902565717544,0.0,0.09254130897912198,0:0.000000;42:0.092541;1337:0.089021,-0.26128680943318455,-0.19933888592221857
NdivBpowD,N / B^D,9,8,B_tag,3,0.05247691446523738,0.0062186147957554476,0.09673499271328516,0:0.054477;42:0.096735;1337:0.006219,-0.24511854644777634,-0.17872465195688392
NdivBpowD,N / B^D,10,9,B_tag,3,0.06526022040264944,0.0,0.14460345070806607,0:0.051177;42:0.000000;1337:0.144603,-0.22068081180430124,-0.1597998612311327
NdivBpowD,N / B^D,0,input,B_tens,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.29809445596921647,-0.2980944559692165
NdivBpowD,N / B^D,1,0,B_tens,3,0.004023021435223404,0.0,0.008240626871984874,0:0.008241;42:0.000000;1337:0.003828,-0.17216624927148572,-0.17349557194506704
NdivBpowD,N / B^D,2,1,B_tens,3,0.000506147151485137,0.0,0.0015184414544554107,0:0.000000;42:0.000000;1337:0.001518,-0.17310463866387513,-0.17506195423189283
NdivBpowD,N / B^D,3,2,B_tens,3,0.0008527110346306098,0.0,0.0025581331038918294,0:0.000000;42:0.000000;1337:0.002558,-0.17178517723777745,-0.1767218856041928
NdivBpowD,N / B^D,4,3,B_tens,3,0.0008831143703295049,0.0,0.002649343110988514,0:0.000000;42:0.002649;1337:0.000000,-0.1682837944829392,-0.17267174712879094
NdivBpowD,N / B^D,5,4,B_tens,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.17070598714052362,-0.1801570244725835
NdivBpowD,N / B^D,6,5,B_tens,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.16928083662721938,-0.18110743753755973
NdivBpowD,N / B^D,7,6,B_tens,3,0.0007184175691041041,0.0,0.0021552527073123123,0:0.000000;42:0.002155;1337:0.000000,-0.17018762118344646,-0.17428807975707658
