source_checkpoint,seed,num_layers,model_condition,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,O[0],BpowD,B^D,0.6997199513652289,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,O[0],NdivBpowD,N / B^D,0.8965402245695664,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,O[0],floorNdivBpowD,floor(N / B^D),0.8966444840165307,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,O[0],floorNdivBpowD_modB,floor(N / B^D) mod B,0.4912257318045132,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,O[1],BpowD,B^D,0.5667224949750945,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,O[1],NdivBpowD,N / B^D,0.8474333064363704,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,O[1],floorNdivBpowD,floor(N / B^D),0.8475381813475821,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,2,1,O[1],floorNdivBpowD_modB,floor(N / B^D) mod B,0.46201897934497926,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_tag,BpowD,B^D,-0.09826354696490336,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_tag,NdivBpowD,N / B^D,-0.3055546564862209,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_tag,floorNdivBpowD,floor(N / B^D),-0.3038081202942816,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5683665798460951,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_hundreds,BpowD,B^D,-0.06358098422104579,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_hundreds,NdivBpowD,N / B^D,-0.241422088453433,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_hundreds,floorNdivBpowD,floor(N / B^D),-0.23979855533227346,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_hundreds,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5688624835415164,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_tens,BpowD,B^D,-0.10209552884846676,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_tens,NdivBpowD,N / B^D,-0.2821801475089477,3848,5
