seed,target,target_label,representation_index,layer_label,stream,trained_cv_r2,init_cv_r2,trained_minus_init_cv_r2,remaining_gap_to_one_at_init,fraction_remaining_gap_closed,positive_fraction_remaining_gap_closed
42,BpowD,B^D,5,4,D_tag,-0.04360494161486748,-0.04741686041235706,0.0038119187974895857,1.047416860412357,0.0036393521448460104,0.0036393521448460104
1337,BpowD,B^D,5,4,D_tag,-0.06276232965511903,-0.05459186171477395,-0.008170467940345087,1.054591861714774,-0.007747516586236354,0.0
0,BpowD,B^D,6,5,D_tag,-0.08734908981903404,-0.1053339844540933,0.017984894635059256,1.1053339844540933,0.01627100486188499,0.01627100486188499
42,BpowD,B^D,6,5,D_tag,-0.03746377437440984,-0.056593538666872514,0.019129764292462673,1.0565935386668726,0.018105130868582748,0.018105130868582748
1337,BpowD,B^D,6,5,D_tag,-0.060646731009605846,-0.053864813574772796,-0.00678191743483305,1.0538648135747728,-0.006435282160933316,0.0
0,BpowD,B^D,7,6,D_tag,-0.07732102714262368,-0.1141229154361862,0.036801888293562526,1.1141229154361862,0.033032161697485914,0.033032161697485914
42,BpowD,B^D,7,6,D_tag,-0.04392729831304998,-0.05915122720822859,0.01522392889517861,1.0591512272082286,0.014373706515269506,0.014373706515269506
1337,BpowD,B^D,7,6,D_tag,-0.059544280913298,-0.05319925603086171,-0.006345024882436288,1.0531992560308616,-0.006024524652959271,0.0
0,BpowD,B^D,8,7,D_tag,-0.07939634595421759,-0.10952333902403226,0.030126993069814673,1.1095233390240322,0.027153095397087563,0.027153095397087563
42,BpowD,B^D,8,7,D_tag,-0.04859034107274103,-0.05903005624985591,0.01043971517711488,1.0590300562498558,0.009857808204313938,0.009857808204313938
1337,BpowD,B^D,8,7,D_tag,-0.062369965846480205,-0.05509073435873999,-0.007279231487740213,1.05509073435874,-0.006899152130422569,0.0
0,BpowD,B^D,9,8,D_tag,-0.08113402567737835,-0.10799096512961248,0.026856939452234135,1.1079909651296125,0.024239312681662902,0.024239312681662902
42,BpowD,B^D,9,8,D_tag,-0.03929456461431709,-0.060884120947218824,0.021589556332901737,1.0608841209472188,0.020350532076609206,0.020350532076609206
1337,BpowD,B^D,9,8,D_tag,-0.06349170885315054,-0.05559889477299858,-0.007892814080151966,1.0555988947729986,-0.007477095816635236,0.0
0,BpowD,B^D,10,9,D_tag,-0.0737819370465123,-0.10937684417012408,0.03559490712361178,1.1093768441701242,0.03208549674591303,0.03208549674591303
42,BpowD,B^D,10,9,D_tag,-0.03423139584124106,-0.05068932848393219,0.01645793264269113,1.0506893284839323,0.015663938137107303,0.015663938137107303
1337,BpowD,B^D,10,9,D_tag,-0.057726169560881634,-0.05220689112844843,-0.005519278432433203,1.0522068911284483,-0.005245430797848135,0.0
0,BpowD,B^D,0,input,N_hundreds,-0.04728749870750097,-0.06358098422104352,0.016293485513542552,1.0635809842210435,0.015319459218684457,0.015319459218684457
